Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
Oman vs U.A.E.,Oman,U.A.E.,Oman,5 wickets,Al Amerat,"Jan 5, 2020",ODI # 4224
Namibia vs U.A.E.,Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,"Jan 6, 2020",ODI # 4225
West Indies vs Ireland,West Indies,Ireland,West Indies,5 wickets,Bridgetown,"Jan 7, 2020",ODI # 4226
Oman vs Namibia,Oman,Namibia,Namibia,52 runs,Al Amerat,"Jan 8, 2020",ODI # 4227
Namibia vs U.A.E.,Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,"Jan 9, 2020",ODI # 4228
West Indies vs Ireland,West Indies,Ireland,West Indies,1 wicket,Bridgetown,"Jan 9, 2020",ODI # 4229
West Indies vs Ireland,West Indies,Ireland,West Indies,5 wickets,St George's,"Jan 12, 2020",ODI # 4230
India vs Australia,India,Australia,Australia,10 wickets,Wankhede,"Jan 14, 2020",ODI # 4231
India vs Australia,India,Australia,India,36 runs,Rajkot,"Jan 17, 2020",ODI # 4232
India vs Australia,India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020",ODI # 4233
South Africa vs England,South Africa,England,South Africa,7 wickets,Cape Town,"Feb 4, 2020",ODI # 4234
New Zealand vs India,New Zealand,India,New Zealand,4 wickets,Hamilton,"Feb 5, 2020",ODI # 4235
Nepal vs Oman,Nepal,Oman,Oman,18 runs,Kirtipur,"Feb 5, 2020",ODI # 4236
Oman vs U.S.A.,Oman,U.S.A.,Oman,6 wickets,Kirtipur,"Feb 6, 2020",ODI # 4237
New Zealand vs India,New Zealand,India,New Zealand,22 runs,Auckland,"Feb 8, 2020",ODI # 4239
Nepal vs U.S.A.,Nepal,U.S.A.,Nepal,35 runs,Kirtipur,"Feb 8, 2020",ODI # 4240
Nepal vs Oman,Nepal,Oman,Oman,8 wickets,Kirtipur,"Feb 9, 2020",ODI # 4241
South Africa vs England,South Africa,England,England,2 wickets,Johannesburg,"Feb 9, 2020",ODI # 4242
New Zealand vs India,New Zealand,India,New Zealand,5 wickets,Mount Maunganui,"Feb 11, 2020",ODI # 4243
Oman vs U.S.A.,Oman,U.S.A.,Oman,92 runs,Kirtipur,"Feb 11, 2020",ODI # 4244
Nepal vs U.S.A.,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,"Feb 12, 2020",ODI # 4245
Sri Lanka vs West Indies,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),"Feb 22, 2020",ODI # 4246
Sri Lanka vs West Indies,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,"Feb 26, 2020",ODI # 4247
South Africa vs Australia,South Africa,Australia,South Africa,74 runs,Paarl,"Feb 29, 2020",ODI # 4248
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,"Mar 1, 2020",ODI # 4249
Sri Lanka vs West Indies,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,"Mar 1, 2020",ODI # 4250
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,"Mar 3, 2020",ODI # 4251
South Africa vs Australia,South Africa,Australia,South Africa,6 wickets,Bloemfontein,"Mar 4, 2020",ODI # 4252
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,"Mar 6, 2020",ODI # 4253
South Africa vs Australia,South Africa,Australia,South Africa,6 wickets,Potchefstroom,"Mar 7, 2020",ODI # 4254
Australia vs New Zealand,Australia,New Zealand,Australia,71 runs,Sydney,"Mar 13, 2020",ODI # 4255
England vs Ireland,England,Ireland,England,6 wickets,Southampton,"Jul 30, 2020",ODI # 4256
England vs Ireland,England,Ireland,England,4 wickets,Southampton,"Aug 1, 2020",ODI # 4257
England vs Ireland,England,Ireland,Ireland,7 wickets,Southampton,"Aug 4, 2020",ODI # 4258
England vs Australia,England,Australia,Australia,19 runs,Manchester,"Sep 11, 2020",ODI # 4259
England vs Australia,England,Australia,England,24 runs,Manchester,"Sep 13, 2020",ODI # 4260
England vs Australia,England,Australia,Australia,3 wickets,Manchester,"Sep 16, 2020",ODI # 4261
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,"Oct 30, 2020",ODI # 4262
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Nov 1, 2020",ODI # 4263
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,tied,,Rawalpindi,"Nov 3, 2020",ODI # 4264
Australia vs India,Australia,India,Australia,66 runs,Sydney,"Nov 27, 2020",ODI # 4265
Australia vs India,Australia,India,Australia,51 runs,Sydney,"Nov 29, 2020",ODI # 4266
Australia vs India,Australia,India,India,13 runs,Canberra,"Dec 2, 2020",ODI # 4267
U.A.E. vs Ireland,U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi,"Jan 8, 2021",ODI # 4268
U.A.E. vs Ireland,U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi,"Jan 18, 2021",ODI # 4269
Bangladesh vs West Indies,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,"Jan 20, 2021",ODI # 4270
Afghanistan vs Ireland,Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi,"Jan 21, 2021",ODI # 4271
Bangladesh vs West Indies,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,"Jan 22, 2021",ODI # 4272
Afghanistan vs Ireland,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,"Jan 24, 2021",ODI # 4273
Bangladesh vs West Indies,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,"Jan 25, 2021",ODI # 4274
Afghanistan vs Ireland,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,"Jan 26, 2021",ODI # 4275
West Indies vs Sri Lanka,West Indies,Sri Lanka,West Indies,8 wickets,North Sound,"Mar 10, 2021",ODI # 4276
West Indies vs Sri Lanka,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 12, 2021",ODI # 4277
West Indies vs Sri Lanka,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 14, 2021",ODI # 4278
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,"Mar 20, 2021",ODI # 4279
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,"Mar 23, 2021",ODI # 4280
India vs England,India,England,India,66 runs,Pune,"Mar 23, 2021",ODI # 4281
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,164 runs,Wellington,"Mar 26, 2021",ODI # 4282
India vs England,India,England,England,6 wickets,Pune,"Mar 26, 2021",ODI # 4283
India vs England,India,England,India,7 runs,Pune,"Mar 28, 2021",ODI # 4284
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 2, 2021",ODI # 4285
South Africa vs Pakistan,South Africa,Pakistan,South Africa,17 runs,Johannesburg,"Apr 4, 2021",ODI # 4286
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,28 runs,Centurion,"Apr 7, 2021",ODI # 4287
Netherlands vs Scotland,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,"May 19, 2021",ODI # 4288
Netherlands vs Scotland,Netherlands,Scotland,Scotland,6 wickets,Rotterdam,"May 20, 2021",ODI # 4289
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,"May 23, 2021",ODI # 4290
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,"May 25, 2021",ODI # 4291
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,"May 28, 2021",ODI # 4292
Netherlands vs Ireland,Netherlands,Ireland,Netherlands,1 run,Utrecht,"Jun 2, 2021",ODI # 4293
Netherlands vs Ireland,Netherlands,Ireland,Ireland,8 wickets,Utrecht,"Jun 4, 2021",ODI # 4294
Netherlands vs Ireland,Netherlands,Ireland,Netherlands,4 wickets,Utrecht,"Jun 7, 2021",ODI # 4295
England vs Sri Lanka,England,Sri Lanka,England,5 wickets,Chester-le-Street,"Jun 29, 2021",ODI # 4296
England vs Sri Lanka,England,Sri Lanka,England,8 wickets,The Oval,"Jul 1, 2021",ODI # 4297
England vs Pakistan,England,Pakistan,England,9 wickets,Cardiff,"Jul 8, 2021",ODI # 4299
England vs Pakistan,England,Pakistan,England,52 runs,Lord's,"Jul 10, 2021",ODI # 4300
Ireland vs South Africa,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),"Jul 13, 2021",ODI # 4302
England vs Pakistan,England,Pakistan,England,3 wickets,Birmingham,"Jul 13, 2021",ODI # 4303
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,"Jul 16, 2021",ODI # 4304
Ireland vs South Africa,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),"Jul 16, 2021",ODI # 4305
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,"Jul 18, 2021",ODI # 4306
Sri Lanka vs India,Sri Lanka,India,India,7 wickets,Colombo (RPS),"Jul 18, 2021",ODI # 4307
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 20, 2021",ODI # 4308
Sri Lanka vs India,Sri Lanka,India,India,3 wickets,Colombo (RPS),"Jul 20, 2021",ODI # 4309
West Indies vs Australia,West Indies,Australia,Australia,133 runs,Bridgetown,"Jul 20, 2021",ODI # 4310
West Indies vs Australia,West Indies,Australia,West Indies,4 wickets,Bridgetown,"Jul 22-24, 2021",ODI # 4311
Sri Lanka vs India,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),"Jul 23, 2021",ODI # 4312
West Indies vs Australia,West Indies,Australia,Australia,6 wickets,Bridgetown,"Jul 26, 2021",ODI # 4313
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),"Sep 2, 2021",ODI # 4314
Sri Lanka vs South Africa,Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),"Sep 4, 2021",ODI # 4315
P.N.G. vs U.S.A.,P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,"Sep 6, 2021",ODI # 4316
Nepal vs P.N.G.,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,"Sep 7, 2021",ODI # 4317
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),"Sep 7, 2021",ODI # 4318
Ireland vs Zimbabwe,Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,"Sep 8, 2021",ODI # 4319
P.N.G. vs U.S.A.,P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,"Sep 9, 2021",ODI # 4320
Nepal vs P.N.G.,Nepal,P.N.G.,Nepal,151 runs,Al Amerat,"Sep 10, 2021",ODI # 4322
Ireland vs Zimbabwe,Ireland,Zimbabwe,Ireland,7 wickets,Belfast,"Sep 13, 2021",ODI # 4323
Nepal vs U.S.A.,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,"Sep 13, 2021",ODI # 4324
Oman vs Nepal,Oman,Nepal,Oman,5 wickets,Al Amerat,"Sep 14, 2021",ODI # 4325
Oman vs U.S.A.,Oman,U.S.A.,Oman,4 wickets,Al Amerat,"Sep 16, 2021",ODI # 4326
Nepal vs U.S.A.,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,"Sep 17, 2021",ODI # 4327
Oman vs Nepal,Oman,Nepal,Nepal,7 wickets,Al Amerat,"Sep 19, 2021",ODI # 4328
Oman vs U.S.A.,Oman,U.S.A.,Oman,72 runs,Al Amerat,"Sep 20, 2021",ODI # 4329
P.N.G. vs Scotland,P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,"Sep 25, 2021",ODI # 4330
Oman vs P.N.G.,Oman,P.N.G.,Oman,110 runs,Al Amerat,"Sep 26, 2021",ODI # 4331
Oman vs Scotland,Oman,Scotland,Scotland,18 runs,Al Amerat,"Sep 28, 2021",ODI # 4332
P.N.G. vs Scotland,P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,"Sep 29, 2021",ODI # 4333
Oman vs P.N.G.,Oman,P.N.G.,Oman,3 wickets,Al Amerat,"Oct 1, 2021",ODI # 4334
Namibia vs Oman,Namibia,Oman,Namibia,40 runs,Windhoek,"Nov 26, 2021",ODI # 4336
Namibia vs Oman,Namibia,Oman,Oman,9 runs,Windhoek,"Nov 27, 2021",ODI # 4338
West Indies vs Ireland,West Indies,Ireland,West Indies,24 runs,Kingston,"Jan 8, 2022",ODI # 4339
West Indies vs Ireland,West Indies,Ireland,Ireland,5 wickets,Kingston,"Jan 13, 2022",ODI # 4340
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,"Jan 16, 2022",ODI # 4341
West Indies vs Ireland,West Indies,Ireland,Ireland,2 wickets,Kingston,"Jan 16, 2022",ODI # 4342
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,"Jan 18, 2022",ODI # 4343
South Africa vs India,South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022",ODI # 4344
Afghanistan vs Netherlands,Afghanistan,Netherlands,Afghanistan,36 runs,Doha,"Jan 21, 2022",ODI # 4345
South Africa vs India,South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022",ODI # 4346
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,"Jan 21, 2022",ODI # 4347
Afghanistan vs Netherlands,Afghanistan,Netherlands,Afghanistan,48 runs,Doha,"Jan 23, 2022",ODI # 4348
South Africa vs India,South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022",ODI # 4349
Afghanistan vs Netherlands,Afghanistan,Netherlands,Afghanistan,75 runs,Doha,"Jan 25, 2022",ODI # 4350
Oman vs U.A.E.,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 5, 2022",ODI # 4351
Oman vs U.A.E.,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 6, 2022",ODI # 4352
India vs West Indies,India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",ODI # 4353
Oman vs U.A.E.,Oman,U.A.E.,tied,,Al Amerat,"Feb 8, 2022",ODI # 4354
India vs West Indies,India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",ODI # 4355
India vs West Indies,India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",ODI # 4356
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Feb 23, 2022",ODI # 4357
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,"Feb 25, 2022",ODI # 4358
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,"Feb 28, 2022",ODI # 4359
U.A.E. vs Oman,U.A.E.,Oman,Oman,12 runs,ICCA Dubai,"Mar 5, 2022",ODI # 4360
Namibia vs Oman,Namibia,Oman,Namibia,110 runs,ICCA Dubai,"Mar 6, 2022",ODI # 4361
U.A.E. vs Namibia,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,"Mar 8, 2022",ODI # 4362
U.A.E. vs Oman,U.A.E.,Oman,Oman,8 runs,ICCA Dubai,"Mar 9, 2022",ODI # 4363
Namibia vs Oman,Namibia,Oman,Oman,7 wickets,Sharjah,"Mar 11, 2022",ODI # 4364
U.A.E. vs Namibia,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,"Mar 12, 2022",ODI # 4365
Namibia vs Oman,Namibia,Oman,Namibia,5 wickets,Dubai (DSC),"Mar 14, 2022",ODI # 4366
U.A.E. vs P.N.G.,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,"Mar 15, 2022",ODI # 4367
Nepal vs P.N.G.,Nepal,P.N.G.,Nepal,2 wickets,Sharjah,"Mar 16, 2022",ODI # 4368
U.A.E. vs Nepal,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),"Mar 18, 2022",ODI # 4369
South Africa vs Bangladesh,South Africa,Bangladesh,Bangladesh,38 runs,Centurion,"Mar 18, 2022",ODI # 4370
U.A.E. vs P.N.G.,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),"Mar 19, 2022",ODI # 4371
South Africa vs Bangladesh,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,"Mar 20, 2022",ODI # 4372
