Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Azmatullah Omarzai,Afghanistan,Allrounder, 2021 - 2023,22y 330d,Right hand Bat,Right arm Medium fast
Fareed Ahmad,Afghanistan,Bowler, 2014 - 2022,28y 191d,Left hand Bat,Left arm Fast medium
Fazalhaq Farooqi,Afghanistan,Bowler, 2021 - 2023,22y 148d,Right hand Bat,Left arm Fast medium
Gulbadin Naib,Afghanistan,Batting Allrounder, 2011 - 2022,31y 258d,Right hand Bat,Right arm Medium fast
Hashmatullah Shahidi,Afghanistan,Top order Batter, 2013 - 2022,28y 105d,Left hand Bat,Right arm Offbreak
Ibrahim Zadran,Afghanistan,Opening Batter, 2019 - 2023,21y 67d,Right hand Bat,Right arm Medium fast
Mohammad Nabi,Afghanistan,Allrounder, 2009 - 2022,38y 47d,Right hand Bat,Right arm Offbreak
Mujeeb Ur Rahman,Afghanistan,Bowler, 2017 - 2023,21y 326d,Right hand Bat,Right arm Offbreak
Najibullah Zadran,Afghanistan,Middle order Batter, 2012 - 2023,29y 354d,Left hand Bat,Right arm Offbreak
Noor Ahmad,Afghanistan,Bowler, 2022 - 2022,18y 45d,Right hand Bat,Left arm Wrist spin
Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter, 2019 - 2023,21y 81d,Right hand Bat,
Rahmat Shah,Afghanistan,Allrounder, 2013 - 2022,29y 226d,Right hand Bat,Legbreak Googly
Rashid Khan,Afghanistan,Bowling Allrounder, 2015 - 2023,24y 150d,Right hand Bat,Legbreak Googly
Riaz Hassan,Afghanistan,INTL CAREER: 2022 - 2022, 2022 - 2022,20y 102d,Right hand Bat,
Yamin Ahmadzai,Afghanistan,Bowler, 2015 - 2022,30y 207d,Right hand Bat,Right arm Medium fast
Sean Abbott,Australia,Allrounder, 2014 - 2022,30y 354d,Right hand Bat,Right arm Fast medium
Ashton Agar,Australia,Bowler, 2013 - 2023,29y 126d,Left hand Bat,Slow Left arm Orthodox
Jason Behrendorff,Australia,Bowler, 2017 - 2022,32y 303d,Right hand Bat,Left arm Fast medium
Alex Carey,Australia,Wicketkeeper Batter, 2018 - 2023,31y 174d,Left hand Bat,
Pat Cummins,Australia,Bowler, 2011 - 2023,29y 285d,Right hand Bat,Right arm Fast
Nathan Ellis,Australia,Bowler, 2021 - 2022,28y 148d,Right hand Bat,Right arm Fast medium
Aaron Finch,Australia,Top order Batter, 2011 - 2022,36y 92d,Right hand Bat,Slow Left arm Orthodox
Cameron Green,Australia,Batting Allrounder, 2020 - 2022,23y 259d,Right hand Bat,Right arm Fast medium
Josh Hazlewood,Australia,Bowler, 2010 - 2023,32y 40d,Left hand Bat,Right arm Fast medium
Travis Head,Australia,Middle order Batter, 2016 - 2023,29y 50d,Left hand Bat,Right arm Offbreak
Josh Inglis,Australia,Wicketkeeper Batter, 2022 - 2022,27y 350d,Right hand Bat,
Matthew Kuhnemann,Australia,Bowler, 2022 - 2023,26y 150d,Left hand Bat,Slow Left arm Orthodox
Marnus Labuschagne,Australia,Batting Allrounder, 2018 - 2023,28y 240d,Right hand Bat,Legbreak
Mitchell Marsh,Australia,Allrounder, 2011 - 2022,31y 120d,Right hand Bat,Right arm Medium
Glenn Maxwell,Australia,Batting Allrounder, 2012 - 2022,34y 126d,Right hand Bat,Right arm Offbreak
Ben McDermott,Australia,Wicketkeeper Batter, 2018 - 2022,28y 67d,Right hand Bat,Right arm Medium
Jhye Richardson,Australia,Bowler, 2017 - 2022,26y 150d,Right hand Bat,Right arm Fast
Steven Smith,Australia,Middle order Batter, 2010 - 2023,33y 260d,Right hand Bat,Legbreak Googly
Mitchell Starc,Australia,Bowler, 2010 - 2022,33y 18d,Left hand Bat,Left arm Fast
Marcus Stoinis,Australia,Batting Allrounder, 2015 - 2022,33y 185d,Right hand Bat,Right arm Medium
Mitchell Swepson,Australia,Bowler, 2018 - 2022,29y 136d,Right hand Bat,Legbreak
David Warner,Australia,Opening Batter, 2009 - 2023,36y 113d,Left hand Bat,Legbreak
Adam Zampa,Australia,Bowler, 2016 - 2022,30y 323d,Right hand Bat,Legbreak Googly
Afif Hossain,Bangladesh,Allrounder, 2018 - 2022,23y 148d,Left hand Bat,Right arm Offbreak
Anamul Haque,Bangladesh,Wicketkeeper Batter, 2012 - 2022,30y 63d,Right hand Bat,
Ebadot Hossain,Bangladesh,Bowler, 2019 - 2022,29y 41d,Right hand Bat,Right arm Fast medium
Hasan Mahmud,Bangladesh,Bowler, 2020 - 2022,23y 128d,Right hand Bat,Right arm Medium
Litton Das,Bangladesh,Wicketkeeper Batter, 2015 - 2022,28y 127d,Right hand Bat,Right arm Offbreak
Mahmudullah,Bangladesh,Allrounder, 2007 - 2022,37y 13d,Right hand Bat,Right arm Offbreak
Mehidy Hasan Miraz,Bangladesh,Allrounder, 2016 - 2022,25y 115d,Right hand Bat,Right arm Offbreak
Mosaddek Hossain,Bangladesh,Middle order Batter, 2016 - 2022,27y 69d,Right hand Bat,Right arm Offbreak
Mushfiqur Rahim,Bangladesh,Wicketkeeper Batter, 2005 - 2022,35y 284d,Right hand Bat,
Mustafizur Rahman,Bangladesh,Bowler, 2015 - 2022,27y 164d,Left hand Bat,Left arm Fast medium
Najmul Hossain Shanto,Bangladesh,Top order Batter, 2017 - 2022,24y 176d,Left hand Bat,Right arm Offbreak
Nasum Ahmed,Bangladesh,Bowler, 2021 - 2022,28y 74d,Left hand Bat,Slow Left arm Orthodox
Nurul Hasan,Bangladesh,Wicketkeeper Batter, 2016 - 2022,29y 88d,Right hand Bat,
Shakib Al Hasan,Bangladesh,Allrounder, 2006 - 2022,35y 330d,Left hand Bat,Slow Left arm Orthodox
Shoriful Islam,Bangladesh,Bowler, 2021 - 2022,21y 259d,Left hand Bat,Left arm Medium fast
Taijul Islam,Bangladesh,Bowler, 2014 - 2022,31y 10d,Left hand Bat,Slow Left arm Orthodox
Tamim Iqbal,Bangladesh,Opening Batter, 2007 - 2022,33y 334d,Left hand Bat,
Taskin Ahmed,Bangladesh,Bowler, 2014 - 2022,27y 320d,Left hand Bat,Right arm Fast
Yasir Ali,Bangladesh,Middle order Batter, 2019 - 2022,26y 348d,Right hand Bat,Right arm Offbreak
Moeen Ali,England,Batting Allrounder, 2014 - 2023,35y 244d,Left hand Bat,Right arm Offbreak
Jofra Archer,England,Bowler, 2019 - 2023,27y 322d,Right hand Bat,Right arm Fast
Jonny Bairstow,England,Wicketkeeper Batter, 2011 - 2022,33y 144d,Right hand Bat,Right arm Medium
Sam Billings,England,Wicketkeeper Batter, 2015 - 2022,31y 247d,Right hand Bat,
Harry Brook,England,Batter, 2022 - 2023,23y 360d,Right hand Bat,Right arm Medium
Jos Buttler,England,Wicketkeeper Batter, 2011 - 2023,32y 162d,Right hand Bat,
Brydon Carse,England,Bowler, 2021 - 2022,27y 201d,Right hand Bat,Right arm Fast
Sam Curran,England,Allrounder, 2018 - 2023,24y 259d,Left hand Bat,Left arm Medium fast
Liam Dawson,England,Allrounder, 2016 - 2022,32y 353d,Right hand Bat,Slow Left arm Orthodox
Ben Duckett,England,Top order Batter, 2016 - 2023,28y 123d,Left hand Bat,Right arm Offbreak
Chris Jordan,England,Bowler, 2013 - 2022,34y 136d,Right hand Bat,Right arm Fast medium
Liam Livingstone,England,Batting Allrounder, 2017 - 2022,29y 197d,Right hand Bat,Legbreak
Dawid Malan,England,Top order Batter, 2017 - 2023,35y 167d,Left hand Bat,Legbreak
Eoin Morgan,England,Middle order Batter, 2006 - 2022,36y 160d,Left hand Bat,Right arm Medium
Craig Overton,England,Bowling Allrounder, 2017 - 2022,28y 313d,Right hand Bat,Right arm Medium fast
David Payne,England,Bowler, 2022 - 2022,32y 2d,Right hand Bat,Left arm Fast medium
Matthew Potts,England,Bowler, 2022 - 2022,24y 111d,Right hand Bat,Right arm Fast medium
Adil Rashid,England,Bowler, 2009 - 2023,35y ,Right hand Bat,Legbreak
Joe Root,England,Top order Batter, 2012 - 2023,32y 49d,Right hand Bat,"Right arm Offbreak, Legbreak"
Jason Roy,England,Opening Batter, 2014 - 2023,32y 211d,Right hand Bat,
Phil Salt,England,Wicketkeeper Batter, 2021 - 2022,26y 173d,Right hand Bat,Right arm Offbreak
Ben Stokes,England,Allrounder, 2011 - 2023,31y 258d,Left hand Bat,Right arm Fast medium
Olly Stone,England,Bowler, 2018 - 2023,29y 131d,Right hand Bat,Right arm Fast
Reece Topley,England,Bowler, 2015 - 2023,28y 361d,Right hand Bat,Left arm Fast medium
James Vince,England,Batter, 2015 - 2022,31y 340d,Right hand Bat,Right arm Medium
David Willey,England,Bowling Allrounder, 2015 - 2023,32y 354d,Left hand Bat,Left arm Fast medium
Chris Woakes,England,Allrounder, 2011 - 2023,33y 352d,Right hand Bat,Right arm Fast medium
Luke Wood,England,Bowling Allrounder, 2022 - 2022,27y 199d,Left hand Bat,Left arm Fast medium
Arshdeep Singh,India,Bowler, 2022 - 2023,24y 12d,Left hand Bat,Left arm Medium fast
Avesh Khan,India,Bowler, 2022 - 2022,26y 66d,Right hand Bat,Right arm Fast medium
Jasprit Bumrah,India,Bowler, 2016 - 2022,29y 73d,Right hand Bat,Right arm Fast
Yuzvendra Chahal,India,Bowler, 2016 - 2023,32y 209d,Right hand Bat,Legbreak Googly
Deepak Chahar,India,Bowler, 2018 - 2022,30y 194d,Right hand Bat,Right arm Medium
Shikhar Dhawan,India,Opening Batter, 2010 - 2022,37y 74d,Left hand Bat,Right arm Offbreak
Ruturaj Gaikwad,India,Batter, 2021 - 2022,26y 17d,Right hand Bat,Right arm Offbreak
Deepak Hooda,India,Allrounder, 2022 - 2023,27y 304d,Right hand Bat,Right arm Offbreak
Ishan Kishan,India,Wicketkeeper Batter, 2021 - 2023,24y 214d,Left hand Bat,
Shreyas Iyer,India,Top order Batter, 2017 - 2023,28y 73d,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Ravindra Jadeja,India,Allrounder, 2009 - 2023,34y 73d,Left hand Bat,Slow Left arm Orthodox
Virat Kohli,India,Top order Batter, 2008 - 2023,34y 104d,Right hand Bat,Right arm Medium
Kuldeep Yadav,India,Bowler, 2014 - 2023,28y 65d,Left hand Bat,Left arm Wrist spin
Mohammed Shami,India,Bowler, 2013 - 2023,32y 167d,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler, 2017 - 2023,28y 341d,Right hand Bat,Right arm Fast
Hardik Pandya,India,Allrounder, 2016 - 2023,29y 129d,Right hand Bat,Right arm Medium fast
Rishabh Pant,India,Wicketkeeper Batter, 2017 - 2022,25y 136d,Left hand Bat,
Axar Patel,India,Bowling Allrounder, 2014 - 2023,29y 28d,Left hand Bat,Slow Left arm Orthodox
Prasidh Krishna,India,Bowler, 2021 - 2022,26y 363d,Right hand Bat,Right arm Fast medium
KL Rahul,India,Opening Batter, 2014 - 2023,30y 305d,Right hand Bat,
Ravi Bishnoi,India,Bowler, 2022 - 2022,22y 165d,Right hand Bat,Legbreak Googly
Sanju Samson,India,Wicketkeeper Batter, 2014 - 2023,28y 98d,Right hand Bat,
Kuldeep Sen,India,Bowler, 2022 - 2022,26y 118d,Right hand Bat,Right arm Fast
Shahbaz Ahmed,India,Allrounder, 2022 - 2022,28y 68d,Left hand Bat,Slow Left arm Orthodox
Rohit Sharma,India,Top order Batter, 2007 - 2023,35y 293d,Right hand Bat,Right arm Offbreak
Shubman Gill,India,Opening Batter, 2019 - 2023,23y 162d,Right hand Bat,Right arm Offbreak
Shardul Thakur,India,Bowler, 2017 - 2023,31y 124d,Right hand Bat,Right arm Medium
Umran Malik,India,Bowler, 2022 - 2023,23y 87d,Right hand Bat,Right arm Fast
Washington Sundar,India,Bowling Allrounder, 2017 - 2023,23y 135d,Left hand Bat,Right arm Offbreak
Suryakumar Yadav,India,Batter, 2021 - 2023,32y 156d,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Mark Adair,Ireland,Bowling Allrounder, 2016 - 2023,26y 327d,Right hand Bat,Right arm Fast medium
Andy Balbirnie,Ireland,Batter, 2010 - 2023,32y 51d,Right hand Bat,Right arm Offbreak
Curtis Campher,Ireland,Allrounder, 2020 - 2023,23y 303d,Right hand Bat,Right arm Medium fast
Murray Commins,Ireland,Batter, 2023 - 2023,26y 46d,Left hand Bat,
Gareth Delany,Ireland,Batting Allrounder, 2019 - 2023,25y 295d,Right hand Bat,Legbreak Googly
George Dockrell,Ireland,Allrounder, 2010 - 2023,30y 210d,Right hand Bat,Slow Left arm Orthodox
Stephen Doheny,Ireland,Opening Batter, 2023 - 2023,24y 181d,Right hand Bat,
Graham Hume,Ireland,Bowler, 2022 - 2023,32y 86d,Left hand Bat,Right arm Fast medium
Josh Little,Ireland,Bowler, 2016 - 2023,23y 108d,Right hand Bat,Left arm Fast medium
Andy McBrine,Ireland,Bowler, 2014 - 2023,29y 293d,Left hand Bat,Right arm Offbreak
Simi Singh,Ireland,Bowling Allrounder, 2017 - 2022,36y 13d,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Paul Stirling,Ireland,Batting Allrounder, 2008 - 2023,32y 167d,Right hand Bat,Right arm Offbreak
Harry Tector,Ireland,Middle order Batter, 2019 - 2023,23y 73d,Right hand Bat,Right arm Offbreak
Lorcan Tucker,Ireland,Wicketkeeper Batter, 2016 - 2023,26y 160d,Right hand Bat,
Craig Young,Ireland,Bowler, 2014 - 2022,32y 319d,Right hand Bat,Right arm Fast medium
Finn Allen,New Zealand,Top order Batter, 2021 - 2023,23y 301d,Right hand Bat,
Trent Boult,New Zealand,Bowler, 2011 - 2022,33y 210d,Right hand Bat,Left arm Fast medium
Doug Bracewell,New Zealand,Bowler, 2011 - 2022,32y 142d,Right hand Bat,Right arm Fast medium
Michael Bracewell,New Zealand,Batting Allrounder, 2022 - 2023,32y 3d,Left hand Bat,Right arm Offbreak
Mark Chapman,New Zealand,Allrounder, 2014 - 2023,28y 235d,Left hand Bat,Slow Left arm Orthodox
Dane Cleaver,New Zealand,Wicketkeeper Batter, 2022 - 2022,31y 47d,Right hand Bat,Legbreak
Devon Conway,New Zealand,Wicketkeeper Batter, 2020 - 2023,31y 224d,Left hand Bat,Right arm Medium
Colin de Grandhomme,New Zealand,Allrounder, 2012 - 2022,36y 210d,Right hand Bat,Right arm Medium fast
