Player Name,Format,Matches,Innings,Balls,Runs,Wickets,BBI,BBM,Average,Economy,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,10 Wicket Hauls
Azmatullah Omarzai,ODI,7,7,246,179,4,1/17,1/17,44.75,4.36,61.5,0,0,0
Fareed Ahmad,ODI,11,10,444,343,15,3/56,3/56,22.86,4.63,29.6,0,0,0
Fazalhaq Farooqi,ODI,10,10,475,403,17,4/49,4/49,23.70,5.09,27.9,2,0,0
Gulbadin Naib,ODI,75,69,2523,2279,64,6/43,6/43,35.60,5.41,39.4,2,1,0
Hashmatullah Shahidi,ODI,53,2,18,25,0,-,-,-,8.33,-,0,0,0
Ibrahim Zadran,ODI,8,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Nabi,ODI,136,131,6477,4628,144,4/30,4/30,32.13,4.28,44.9,4,0,0
Mujeeb Ur Rahman,ODI,55,54,2889,1956,79,5/50,5/50,24.75,4.06,36.5,3,1,0
Najibullah Zadran,ODI,82,2,30,30,0,-,-,-,6.00,-,0,0,0
Noor Ahmad,ODI,1,1,24,32,0,-,-,-,8.00,-,0,0,0
Rahmanullah Gurbaz,ODI,15,-,-,-,-,-,-,-,-,-,-,-,-
Rahmat Shah,ODI,88,27,530,514,14,5/32,5/32,36.71,5.81,37.8,0,1,0
Rashid Khan,ODI,86,81,4349,3024,163,7/18,7/18,18.55,4.17,26.6,6,4,0
Riaz Hassan,ODI,3,-,-,-,-,-,-,-,-,-,-,-,-
Yamin Ahmadzai,ODI,9,8,340,304,7,2/34,2/34,43.42,5.36,48.5,0,0,0
Sean Abbott,ODI,8,8,342,311,9,2/1,2/1,34.55,5.45,38.0,0,0,0
Ashton Agar,ODI,20,20,984,877,18,2/31,2/31,48.72,5.34,54.6,0,0,0
Jason Behrendorff,ODI,12,12,645,568,16,5/44,5/44,35.50,5.28,40.3,0,1,0
Alex Carey,ODI,62,-,-,-,-,-,-,-,-,-,-,-,-
Pat Cummins,ODI,75,75,3938,3424,124,5/70,5/70,27.61,5.21,31.7,6,1,0
Nathan Ellis,ODI,3,3,138,140,3,1/36,1/36,46.66,6.08,46.0,0,0,0
Aaron Finch,ODI,146,21,284,259,4,1/2,1/2,64.75,5.47,71.0,0,0,0
Cameron Green,ODI,13,13,384,322,11,5/33,5/33,29.27,5.03,34.9,0,1,0
Josh Hazlewood,ODI,69,68,3626,2766,108,6/52,6/52,25.61,4.57,33.5,1,3,0
Travis Head,ODI,51,30,843,818,14,2/22,2/22,58.42,5.82,60.2,0,0,0
Josh Inglis,ODI,2,-,-,-,-,-,-,-,-,-,-,-,-
Matthew Kuhnemann,ODI,4,4,228,191,6,2/26,2/26,31.83,5.02,38.0,0,0,0
Marnus Labuschagne,ODI,27,9,185,197,2,2/19,2/19,98.50,6.38,92.5,0,0,0
Mitchell Marsh,ODI,69,64,2111,1913,54,5/33,5/33,35.42,5.43,39.0,1,1,0
Glenn Maxwell,ODI,127,100,3236,3007,60,4/46,4/46,50.11,5.57,53.9,3,0,0
Ben McDermott,ODI,5,-,-,-,-,-,-,-,-,-,-,-,-
Jhye Richardson,ODI,15,15,810,793,27,4/26,4/26,29.37,5.87,30.0,1,0,0
Steven Smith,ODI,139,40,1076,971,28,3/16,3/16,34.67,5.41,38.4,0,0,0
Mitchell Starc,ODI,107,107,5509,4670,211,6/28,6/28,22.13,5.08,26.1,12,8,0
Marcus Stoinis,ODI,57,51,1656,1647,37,3/16,3/16,44.51,5.96,44.7,0,0,0
Mitchell Swepson,ODI,3,3,158,161,3,2/53,2/53,53.66,6.11,52.6,0,0,0
David Warner,ODI,141,1,6,8,0,-,-,-,8.00,-,0,0,0
Adam Zampa,ODI,76,76,4014,3641,127,5/35,5/35,28.66,5.44,31.6,6,1,0
Afif Hossain,ODI,22,8,82,68,3,1/0,1/0,22.66,4.97,27.3,0,0,0
Anamul Haque,ODI,44,-,-,-,-,-,-,-,-,-,-,-,-
Ebadot Hossain,ODI,4,4,212,210,11,4/47,4/47,19.09,5.94,19.2,1,0,0
Hasan Mahmud,ODI,6,6,260,256,8,3/28,3/28,32.00,5.90,32.5,0,0,0
Litton Das,ODI,60,-,-,-,-,-,-,-,-,-,-,-,-
Mahmudullah,ODI,215,146,4273,3712,82,3/4,3/4,45.26,5.21,52.1,0,0,0
Mehidy Hasan Miraz,ODI,67,66,3345,2599,79,4/25,4/25,32.89,4.66,42.3,5,0,0
Mosaddek Hossain,ODI,43,41,1130,969,17,3/13,3/13,57.00,5.14,66.4,0,0,0
Mushfiqur Rahim,ODI,239,-,-,-,-,-,-,-,-,-,-,-,-
Mustafizur Rahman,ODI,82,81,3980,3370,141,6/43,6/43,23.90,5.08,28.2,4,5,0
Najmul Hossain Shanto,ODI,15,1,6,4,0,-,-,-,4.00,-,0,0,0
Nasum Ahmed,ODI,4,4,226,128,5,3/19,3/19,25.60,3.39,45.2,0,0,0
Nurul Hasan,ODI,6,-,-,-,-,-,-,-,-,-,-,-,-
Shakib Al Hasan,ODI,224,221,11531,8544,294,5/29,5/29,29.06,4.44,39.2,9,4,0
Shoriful Islam,ODI,14,14,604,564,19,4/34,4/34,29.68,5.60,31.7,2,0,0
Taijul Islam,ODI,12,12,684,447,20,5/28,5/28,22.35,3.92,34.2,1,1,0
Tamim Iqbal,ODI,231,2,6,13,0,-,-,-,13.00,-,0,0,0
Taskin Ahmed,ODI,52,51,2423,2278,69,5/28,5/28,33.01,5.64,35.1,3,2,0
Yasir Ali,ODI,7,1,6,2,0,-,-,-,2.00,-,0,0,0
Moeen Ali,ODI,126,116,5454,4830,96,4/46,4/46,50.31,5.31,56.8,1,0,0
Jofra Archer,ODI,19,19,1026,841,37,6/40,6/40,22.72,4.91,27.7,0,1,0
Jonny Bairstow,ODI,95,-,-,-,-,-,-,-,-,-,-,-,-
Sam Billings,ODI,28,-,-,-,-,-,-,-,-,-,-,-,-
Harry Brook,ODI,3,-,-,-,-,-,-,-,-,-,-,-,-
Jos Buttler,ODI,162,-,-,-,-,-,-,-,-,-,-,-,-
Brydon Carse,ODI,9,9,406,382,12,5/61,5/61,31.83,5.64,33.8,0,1,0
Sam Curran,ODI,21,21,880,866,20,5/48,5/48,43.30,5.90,44.0,0,1,0
Liam Dawson,ODI,6,5,264,284,5,2/70,2/70,56.80,6.45,52.8,0,0,0
Ben Duckett,ODI,6,-,-,-,-,-,-,-,-,-,-,-,-
Chris Jordan,ODI,35,35,1660,1660,46,5/29,5/29,36.08,6.00,36.0,0,1,0
Liam Livingstone,ODI,12,7,150,145,6,2/30,2/30,24.16,5.80,25.0,0,0,0
Dawid Malan,ODI,15,2,15,17,1,1/5,1/5,17.00,6.80,15.0,0,0,0
Eoin Morgan,ODI,248,-,-,-,-,-,-,-,-,-,-,-,-
Craig Overton,ODI,7,7,308,291,5,2/23,2/23,58.20,5.66,61.6,0,0,0
David Payne,ODI,1,1,54,38,1,1/38,1/38,38.00,4.22,54.0,0,0,0
Matthew Potts,ODI,1,1,24,33,0,-,-,-,8.25,-,0,0,0
Adil Rashid,ODI,122,116,6119,5781,175,5/27,5/27,33.03,5.66,34.9,7,2,0
Joe Root,ODI,158,69,1553,1495,26,3/52,3/52,57.50,5.77,59.7,0,0,0
Jason Roy,ODI,113,-,-,-,-,-,-,-,-,-,-,-,-
Phil Salt,ODI,11,-,-,-,-,-,-,-,-,-,-,-,-
Ben Stokes,ODI,105,88,3110,3137,74,5/61,5/61,42.39,6.05,42.0,1,1,0
Olly Stone,ODI,8,7,318,317,8,4/85,4/85,39.62,5.98,39.7,1,0,0
Reece Topley,ODI,22,22,1010,892,33,6/24,6/24,27.03,5.29,30.6,1,1,0
James Vince,ODI,22,2,42,38,1,1/18,1/18,38.00,5.42,42.0,0,0,0
David Willey,ODI,64,63,2817,2622,84,5/30,5/30,31.21,5.58,33.5,4,1,0
Chris Woakes,ODI,110,106,5221,4782,158,6/45,6/45,30.26,5.49,33.0,10,3,0
Luke Wood,ODI,1,1,60,59,0,-,-,-,5.90,-,0,0,0
Arshdeep Singh,ODI,3,2,79,89,0,-,-,-,6.75,-,0,0,0
Avesh Khan,ODI,5,5,213,214,3,3/66,3/66,71.33,6.02,71.0,0,0,0
Jasprit Bumrah,ODI,72,72,3807,2941,121,6/19,6/19,24.30,4.63,31.4,5,2,0
Yuzvendra Chahal,ODI,72,69,3739,3283,121,6/42,6/42,27.13,5.26,30.9,5,2,0
Deepak Chahar,ODI,13,12,510,489,16,3/27,3/27,30.56,5.75,31.8,0,0,0
Shikhar Dhawan,ODI,167,-,-,-,-,-,-,-,-,-,-,-,-
Ruturaj Gaikwad,ODI,1,-,-,-,-,-,-,-,-,-,-,-,-
Deepak Hooda,ODI,10,6,150,119,3,1/6,1/6,39.66,4.76,50.0,0,0,0
Ishan Kishan,ODI,13,-,-,-,-,-,-,-,-,-,-,-,-
Shreyas Iyer,ODI,42,5,37,39,0,-,-,-,6.32,-,0,0,0
Ravindra Jadeja,ODI,171,166,8611,7062,189,5/36,5/36,37.36,4.92,45.5,7,1,0
Virat Kohli,ODI,271,48,641,665,4,1/15,1/15,166.25,6.22,160.2,0,0,0
Kuldeep Yadav,ODI,78,76,4120,3567,130,6/25,6/25,27.43,5.19,31.6,5,1,0
Mohammed Shami,ODI,87,86,4416,4127,159,5/69,5/69,25.95,5.60,27.7,9,1,0
Mohammed Siraj,ODI,21,21,1024,788,38,4/32,4/32,20.73,4.61,26.9,2,0,0
Hardik Pandya,ODI,71,66,2812,2620,68,4/24,4/24,38.52,5.59,41.3,1,0,0
Rishabh Pant,ODI,30,-,-,-,-,-,-,-,-,-,-,-,-
Axar Patel,ODI,49,45,2349,1740,56,3/24,3/24,31.07,4.44,41.9,0,0,0
Prasidh Krishna,ODI,14,14,674,598,25,4/12,4/12,23.92,5.32,26.9,2,0,0
KL Rahul,ODI,51,-,-,-,-,-,-,-,-,-,-,-,-
Ravi Bishnoi,ODI,1,1,48,69,1,1/69,1/69,69.00,8.62,48.0,0,0,0
Sanju Samson,ODI,11,-,-,-,-,-,-,-,-,-,-,-,-
Kuldeep Sen,ODI,1,1,30,37,2,2/37,2/37,18.50,7.40,15.0,0,0,0
Shahbaz Ahmed,ODI,3,3,156,125,3,2/32,2/32,41.66,4.80,52.0,0,0,0
Rohit Sharma,ODI,241,38,593,515,8,2/27,2/27,64.37,5.21,74.1,0,0,0
Shubman Gill,ODI,21,-,-,-,-,-,-,-,-,-,-,-,-
Shardul Thakur,ODI,34,34,1529,1587,50,4/52,4/52,31.74,6.22,30.5,2,0,0
Umran Malik,ODI,8,7,330,355,13,3/57,3/57,27.30,6.45,25.3,0,0,0
Washington Sundar,ODI,16,14,516,435,16,3/30,3/30,27.18,5.05,32.2,0,0,0
Suryakumar Yadav,ODI,20,-,-,-,-,-,-,-,-,-,-,-,-
Mark Adair,ODI,29,27,1226,1217,32,4/19,4/19,38.03,5.95,38.3,2,0,0
Andy Balbirnie,ODI,89,3,60,68,2,1/26,1/26,34.00,6.80,30.0,0,0,0
Curtis Campher,ODI,19,16,561,523,15,3/49,3/49,34.86,5.59,37.4,0,0,0
Murray Commins,ODI,2,-,-,-,-,-,-,-,-,-,-,-,-
Gareth Delany,ODI,14,8,174,198,4,1/10,1/10,49.50,6.82,43.5,0,0,0
George Dockrell,ODI,105,94,4400,3509,93,4/24,4/24,37.73,4.78,47.3,4,0,0
Stephen Doheny,ODI,3,-,-,-,-,-,-,-,-,-,-,-,-
Graham Hume,ODI,4,4,174,175,4,2/41,2/41,43.75,6.03,43.5,0,0,0
Josh Little,ODI,25,23,1187,1116,38,4/38,4/38,29.36,5.64,31.2,3,0,0
Andy McBrine,ODI,70,66,3383,2494,76,5/29,5/29,32.81,4.42,44.5,2,1,0
Simi Singh,ODI,35,30,1519,1011,39,5/10,5/10,25.92,3.99,38.9,0,1,0
Paul Stirling,ODI,142,76,2441,1942,43,6/55,6/55,45.16,4.77,56.7,1,1,0
Harry Tector,ODI,26,3,96,107,2,1/20,1/20,53.50,6.68,48.0,0,0,0
Lorcan Tucker,ODI,32,-,-,-,-,-,-,-,-,-,-,-,-
Craig Young,ODI,36,33,1718,1571,59,5/46,5/46,26.62,5.48,29.1,1,1,0
Finn Allen,ODI,17,-,-,-,-,-,-,-,-,-,-,-,-
Trent Boult,ODI,99,99,5453,4484,187,7/34,7/34,23.97,4.93,29.1,10,5,0
Doug Bracewell,ODI,21,21,1016,845,26,4/55,4/55,32.50,4.99,39.0,1,0,0
Michael Bracewell,ODI,19,19,738,634,15,3/21,3/21,42.26,5.15,49.2,0,0,0
Mark Chapman,ODI,7,-,-,-,-,-,-,-,-,-,-,-,-
Dane Cleaver,ODI,1,-,-,-,-,-,-,-,-,-,-,-,-
Devon Conway,ODI,18,-,-,-,-,-,-,-,-,-,-,-,-
Colin de Grandhomme,ODI,45,45,1548,1230,30,3/26,3/26,41.00,4.76,51.6,0,0,0
Jacob Duffy,ODI,3,3,160,204,7,3/52,3/52,29.14,7.65,22.8,0,0,0
Lockie Ferguson,ODI,53,53,2795,2639,85,5/45,5/45,31.04,5.66,32.8,2,1,0
Martin Guptill,ODI,198,11,109,98,4,2/6,2/6,24.50,5.39,27.2,0,0,0
Matt Henry,ODI,65,63,3408,2955,116,5/30,5/30,25.47,5.20,29.3,10,2,0
Kyle Jamieson,ODI,8,8,412,296,11,3/45,3/45,26.90,4.31,37.4,0,0,0
Tom Latham,ODI,123,-,-,-,-,-,-,-,-,-,-,-,-
Adam Milne,ODI,42,41,1921,1705,45,3/49,3/49,37.88,5.32,42.6,0,0,0
Daryl Mitchell,ODI,19,7,150,142,6,3/25,3/25,23.66,5.68,25.0,0,0,0
James Neesham,ODI,71,67,2295,2320,69,5/27,5/27,33.62,6.06,33.2,2,2,0
Henry Nicholls,ODI,61,-,-,-,-,-,-,-,-,-,-,-,-
Glenn Phillips,ODI,15,6,120,131,5,1/9,1/9,26.20,6.55,24.0,0,0,0
Mitchell Santner,ODI,93,88,4277,3473,90,5/50,5/50,38.58,4.87,47.5,0,1,0
Henry Shipley,ODI,3,3,120,131,3,2/74,2/74,43.66,6.55,40.0,0,0,0
Ish Sodhi,ODI,39,38,1939,1754,51,4/58,4/58,34.39,5.42,38.0,1,0,0
Tim Southee,ODI,154,152,7751,7027,210,7/33,7/33,33.46,5.43,36.9,5,3,0
Ross Taylor,ODI,236,4,42,35,0,-,-,-,5.00,-,0,0,0
Blair Tickner,ODI,9,9,450,498,13,4/50,4/50,38.30,6.64,34.6,1,0,0
Kane Williamson,ODI,161,65,1467,1310,37,4/22,4/22,35.40,5.35,39.6,1,0,0
Will Young,ODI,8,-,-,-,-,-,-,-,-,-,-,-,-
Abdullah Shafique,ODI,1,-,-,-,-,-,-,-,-,-,-,-,-
Agha Salman,ODI,6,5,144,118,2,2/42,2/42,59.00,4.91,72.0,0,0,0
Asif Ali,ODI,21,1,5,9,0,-,-,-,10.80,-,0,0,0
Babar Azam,ODI,95,-,-,-,-,-,-,-,-,-,-,-,-
Fakhar Zaman,ODI,65,7,135,111,1,1/19,1/19,111.00,4.93,135.0,0,0,0
Haris Rauf,ODI,18,18,912,878,30,4/65,4/65,29.26,5.77,30.4,2,0,0
Haris Sohail,ODI,45,21,642,613,11,3/45,3/45,55.72,5.72,58.3,0,0,0
Hasan Ali,ODI,60,58,2882,2763,91,5/34,5/34,30.36,5.75,31.6,1,4,0
Iftikhar Ahmed,ODI,10,9,360,313,8,5/40,5/40,39.12,5.21,45.0,0,1,0
Imam-ul-Haq,ODI,56,-,-,-,-,-,-,-,-,-,-,-,-
Kamran Ghulam,ODI,1,-,-,-,-,-,-,-,-,-,-,-,-
Khushdil Shah,ODI,10,3,108,122,2,1/50,1/50,61.00,6.77,54.0,0,0,0
Mohammad Haris,ODI,4,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Hasnain,ODI,9,9,463,497,12,5/26,5/26,41.41,6.44,38.5,0,1,0
Mohammad Nawaz,ODI,25,25,1269,1024,37,4/19,4/19,27.67,4.84,34.2,3,0,0
Mohammad Rizwan,ODI,52,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Wasim,ODI,11,11,520,467,18,4/36,4/36,25.94,5.38,28.8,1,0,0
Naseem Shah,ODI,5,5,269,226,18,5/33,5/33,12.55,5.04,14.9,0,2,0
Saud Shakeel,ODI,5,3,47,37,1,1/14,1/14,37.00,4.72,47.0,0,0,0
Shadab Khan,ODI,53,51,2610,2215,70,4/28,4/28,31.64,5.09,37.2,4,0,0
Shaheen Shah Afridi,ODI,32,31,1611,1480,62,6/35,6/35,23.87,5.51,25.9,5,2,0
Shahnawaz Dahani,ODI,2,2,96,73,1,1/36,1/36,73.00,4.56,96.0,0,0,0
Shan Masood,ODI,6,-,-,-,-,-,-,-,-,-,-,-,-
Usama Mir,ODI,3,3,180,145,4,2/42,2/42,36.25,4.83,45.0,0,0,0
Zahid Mahmood,ODI,4,4,216,220,4,2/59,2/59,55.00,6.11,54.0,0,0,0
Temba Bavuma,ODI,23,1,37,22,0,-,-,-,3.56,-,0,0,0
Quinton de Kock,ODI,137,-,-,-,-,-,-,-,-,-,-,-,-
Bjorn Fortuin,ODI,3,2,78,72,2,1/20,1/20,36.00,5.53,39.0,0,0,0
Reeza Hendricks,ODI,27,3,42,47,1,1/13,1/13,47.00,6.71,42.0,0,0,0
Marco Jansen,ODI,5,5,265,268,5,2/53,2/53,53.60,6.06,53.0,0,0,0
Heinrich Klaasen,ODI,33,2,30,33,0,-,-,-,6.60,-,0,0,0
Sisanda Magala,ODI,5,4,216,255,6,3/46,3/46,42.50,7.08,36.0,0,0,0
Keshav Maharaj,ODI,27,26,1345,1074,29,3/25,3/25,37.03,4.79,46.3,0,0,0
Janneman Malan,ODI,23,-,-,-,-,-,-,-,-,-,-,-,-
Aiden Markram,ODI,47,18,504,481,12,2/18,2/18,40.08,5.72,42.0,0,0,0
David Miller,ODI,152,-,-,-,-,-,-,-,-,-,-,-,-
Lungi Ngidi,ODI,42,41,1986,1883,71,6/58,6/58,26.52,5.68,27.9,3,1,0
Anrich Nortje,ODI,19,18,898,874,34,4/51,4/51,25.70,5.83,26.4,3,0,0
Wayne Parnell,ODI,72,68,3192,2980,98,5/48,5/48,30.40,5.60,32.5,3,2,0
Andile Phehlukwayo,ODI,74,69,2869,2744,87,4/22,4/22,31.54,5.73,32.9,3,0,0
Dwaine Pretorius,ODI,27,26,1144,947,35,4/36,4/36,27.05,4.96,32.6,1,0,0
Kagiso Rabada,ODI,88,86,4531,3796,137,6/16,6/16,27.70,5.02,33.0,6,2,0
Tabraiz Shamsi,ODI,41,38,1989,1835,51,5/49,5/49,35.98,5.53,39.0,1,1,0
Rassie van der Dussen,ODI,41,1,6,3,1,1/3,1/3,3.00,3.00,6.0,0,0,0
Kyle Verreynne,ODI,12,-,-,-,-,-,-,-,-,-,-,-,-
Charith Asalanka,ODI,22,6,84,82,1,1/3,1/3,82.00,5.85,84.0,0,0,0
Ashen Bandara,ODI,6,1,6,8,0,-,-,-,8.00,-,0,0,0
Dushmantha Chameera,ODI,42,41,1747,1577,44,5/16,5/16,35.84,5.41,39.7,0,1,0
Dinesh Chandimal,ODI,157,-,-,-,-,-,-,-,-,-,-,-,-
Dhananjaya de Silva,ODI,65,55,1670,1411,37,3/32,3/32,38.13,5.06,45.1,0,0,0
Wanindu Hasaranga de Silva,ODI,37,36,1783,1506,39,4/58,4/58,38.61,5.06,45.7,1,0,0
Niroshan Dickwella,ODI,55,-,-,-,-,-,-,-,-,-,-,-,-
Asitha Fernando,ODI,5,4,180,202,1,1/64,1/64,202.00,6.73,180.0,0,0,0
Nuwanidu Fernando,ODI,2,1,12,22,0,-,-,-,11.00,-,0,0,0
Avishka Fernando,ODI,29,-,-,-,-,-,-,-,-,-,-,-,-
Danushka Gunathilaka,ODI,47,22,402,371,8,3/48,3/48,46.37,5.53,50.2,0,0,0
Chamika Karunaratne,ODI,21,19,642,623,20,3/47,3/47,31.15,5.82,32.1,0,0,0
Lahiru Kumara,ODI,17,17,746,878,20,2/26,2/26,43.90,7.06,37.3,0,0,0
Dhananjaya Lakshan,ODI,3,3,66,76,1,1/43,1/43,76.00,6.90,66.0,0,0,0
Dilshan Madushanka,ODI,1,1,36,43,1,1/43,1/43,43.00,7.16,36.0,0,0,0
Kusal Mendis,ODI,93,2,20,28,0,-,-,-,8.40,-,0,0,0
Pathum Nissanka,ODI,21,-,-,-,-,-,-,-,-,-,-,-,-
Pramod Madushan,ODI,1,1,18,13,1,1/13,1/13,13.00,4.33,18.0,0,0,0
Kasun Rajitha,ODI,16,16,744,794,23,3/31,3/31,34.52,6.40,32.3,0,0,0
Dasun Shanaka,ODI,48,27,570,573,15,5/43,5/43,38.20,6.03,38.0,0,1,0
Maheesh Theekshana,ODI,12,12,654,491,13,4/37,4/37,37.76,4.50,50.3,1,0,0
Jeffrey Vandersay,ODI,20,19,858,802,25,4/10,4/10,32.08,5.60,34.3,1,0,0
Dunith Wellalage,ODI,9,8,306,303,9,3/42,3/42,33.66,5.94,34.0,0,0,0
Jermaine Blackwood,ODI,3,1,18,16,0,-,-,-,5.33,-,0,0,0
Nkrumah Bonner,ODI,6,3,65,55,1,1/29,1/29,55.00,5.07,65.0,0,0,0
Shamarh Brooks,ODI,21,-,-,-,-,-,-,-,-,-,-,-,-
Yannic Cariah,ODI,3,3,150,152,3,2/77,2/77,50.66,6.08,50.0,0,0,0
Keacy Carty,ODI,9,2,7,10,0,-,-,-,8.57,-,0,0,0
Jason Holder,ODI,131,127,6043,5555,153,5/27,5/27,36.30,5.51,39.4,5,2,0
Shai Hope,ODI,104,-,-,-,-,-,-,-,-,-,-,-,-
Akeal Hosein,ODI,29,29,1580,1246,44,4/39,4/39,28.31,4.73,35.9,1,0,0
Alzarri Joseph,ODI,54,53,2770,2408,87,5/56,5/56,27.67,5.21,31.8,4,1,0
Brandon King,ODI,20,-,-,-,-,-,-,-,-,-,-,-,-
Shermon Lewis,ODI,1,1,59,67,3,3/67,3/67,22.33,6.81,19.6,0,0,0
Kyle Mayers,ODI,17,12,352,339,6,2/48,2/48,56.50,5.77,58.6,0,0,0
Gudakesh Motie,ODI,4,4,220,134,8,4/23,4/23,16.75,3.65,27.5,1,0,0
Keemo Paul,ODI,23,22,976,977,25,3/44,3/44,39.08,6.00,39.0,0,0,0
Anderson Phillip,ODI,5,5,195,207,4,2/50,2/50,51.75,6.36,48.7,0,0,0
Nicholas Pooran,ODI,52,7,169,174,6,4/48,4/48,29.00,6.17,28.1,1,0,0
Rovman Powell,ODI,45,15,280,275,3,1/7,1/7,91.66,5.89,93.3,0,0,0
Jayden Seales,ODI,7,7,331,321,4,1/39,1/39,80.25,5.81,82.7,0,0,0
Romario Shepherd,ODI,18,17,673,601,11,3/50,3/50,54.63,5.35,61.1,0,0,0
Kevin Sinclair,ODI,3,3,170,123,5,4/41,4/41,24.60,4.34,34.0,1,0,0
Hayden Walsh,ODI,22,22,988,891,28,5/39,5/39,31.82,5.41,35.2,1,1,0
Gary Ballance,ODI,18,-,-,-,-,-,-,-,-,-,-,-,-
Ryan Burl,ODI,37,25,565,570,18,5/10,5/10,31.66,6.05,31.3,1,1,0
Regis Chakabva,ODI,61,-,-,-,-,-,-,-,-,-,-,-,-
Tendai Chatara,ODI,80,80,3956,3385,105,4/33,4/33,32.23,5.13,37.6,1,0,0
Chamu Chibhabha,ODI,109,59,1679,1631,35,4/25,4/25,46.60,5.82,47.9,1,0,0
Tanaka Chivanga,ODI,5,5,218,197,3,1/38,1/38,65.66,5.42,72.6,0,0,0
Craig Ervine,ODI,107,-,-,-,-,-,-,-,-,-,-,-,-
Brad Evans,ODI,11,10,405,431,11,5/54,5/54,39.18,6.38,36.8,0,1,0
Luke Jongwe,ODI,37,36,1355,1282,38,5/6,5/6,33.73,5.67,35.6,0,1,0
Innocent Kaia,ODI,14,2,28,22,0,-,-,-,4.71,-,0,0,0
Takudzwanashe Kaitano,ODI,8,-,-,-,-,-,-,-,-,-,-,-,-
Clive Madande,ODI,3,-,-,-,-,-,-,-,-,-,-,-,-
Wessly Madhevere,ODI,26,21,608,515,9,2/40,2/40,57.22,5.08,67.5,0,0,0
Tadiwanashe Marumani,ODI,11,-,-,-,-,-,-,-,-,-,-,-,-
Wellington Masakadza,ODI,26,24,1171,983,25,4/21,4/21,39.32,5.03,46.8,1,0,0
Brandon Mavuta,ODI,8,7,276,266,7,2/30,2/30,38.00,5.78,39.4,0,0,0
Tony Munyonga,ODI,6,1,6,10,0,-,-,-,10.00,-,0,0,0
Tarisai Musakanda,ODI,16,1,12,11,0,-,-,-,5.50,-,0,0,0
Blessing Muzarabani,ODI,33,33,1604,1376,46,5/49,5/49,29.91,5.14,34.8,3,1,0
Dion Myers,ODI,5,1,12,13,1,1/13,1/13,13.00,6.50,12.0,0,0,0
Richard Ngarava,ODI,30,29,1358,1271,30,3/52,3/52,42.36,5.61,45.2,0,0,0
Victor Nyauchi,ODI,10,10,402,353,7,2/65,2/65,50.42,5.26,57.4,0,0,0
Milton Shumba,ODI,6,2,41,42,0,-,-,-,6.14,-,0,0,0
Sikandar Raza,ODI,126,97,3932,3218,71,3/21,3/21,45.32,4.91,55.3,0,0,0
Donald Tiripano,ODI,38,36,1508,1456,36,5/63,5/63,40.44,5.79,41.8,0,1,0
Sean Williams,ODI,147,121,4540,3738,77,4/43,4/43,48.54,4.94,58.9,1,0,0
